Linked models;;Mean year per GWL;;;;Period per GWL
GCM (CMIP5);OEKS15 ensemble member;1.5°C;2.0°C;3.0°C;4.0°C;1.5°C;2.0°C;3.0°C;4.0°C
EC-EARTH_rcp26_r12i1p1;SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_CLMcom-CCLM4-8-17_all;2024;n/a;n/a;n/a;2015-2034;n/a;n/a;n/a
EC-EARTH_rcp26_r12i1p1;SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_KNMI-RACMO22E_all;2024;n/a;n/a;n/a;2015-2034;n/a;n/a;n/a
EC-EARTH_rcp26_r12i1p1;SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_SMHI-RCA4_all;2024;n/a;n/a;n/a;2015-2034;n/a;n/a;n/a
HadGEM2-ES_rcp26_r1i1p1;SDM_MOHC-HadGEM2-ES_rcp26_r1i1p1_SMHI-RCA4_all;2024;n/a;n/a;n/a;2015-2034;n/a;n/a;n/a
MPI-ESM-LR_rcp26_r1i1p1;SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_MPI-CSC-REMO2009_all;2023;n/a;n/a;n/a;2014-2033;n/a;n/a;n/a
MPI-ESM-LR_rcp26_r1i1p1;SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_SMHI-RCA4_all;2023;n/a;n/a;n/a;2014-2033;n/a;n/a;n/a
MPI-ESM-LR_rcp26_r2i1p1;SDM_MPI-M-MPI-ESM-LR_rcp26_r2i1p1_MPI-CSC-REMO2009_all;2017;n/a;n/a;n/a;2008-2027;n/a;n/a;n/a
CNRM-CM5_rcp45_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2038;2059;n/a;n/a;2029-2048;2050-2069;n/a;n/a
CNRM-CM5_rcp45_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CNRM-ALADIN53;2038;2059;n/a;n/a;2029-2048;2050-2069;n/a;n/a
CNRM-CM5_rcp45_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_SMHI-RCA4;2038;2059;n/a;n/a;2029-2048;2050-2069;n/a;n/a
EC-EARTH_rcp45_r12i1p1;SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_CLMcom-CCLM4-8-17;2023;2045;n/a;n/a;2014-2033;2036-2055;n/a;n/a
EC-EARTH_rcp45_r12i1p1;SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_SMHI-RCA4;2023;2045;n/a;n/a;2014-2033;2036-2055;n/a;n/a
EC-EARTH_rcp45_r1i1p1;SDM_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E;2023;2045;n/a;n/a;2014-2033;2036-2055;n/a;n/a
HadGEM2-ES_rcp45_r1i1p1;SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2029;2044;2079;n/a;2020-2039;2035-2054;2070-2089;n/a
HadGEM2-ES_rcp45_r1i1p1;SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_SMHI-RCA4;2029;2044;2079;n/a;2020-2039;2035-2054;2070-2089;n/a
IPSL-CM5A-MR_rcp45_r1i1p1;SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-INERIS-WRF331F;2017;2034;2078;n/a;2008-2027;2025-2044;2069-2088;n/a
IPSL-CM5A-MR_rcp45_r1i1p1;SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_SMHI-RCA4;2017;2034;2078;n/a;2008-2027;2025-2044;2069-2088;n/a
MPI-ESM-LR_rcp45_r1i1p1;SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2023;2045;n/a;n/a;2014-2033;2036-2055;n/a;n/a
MPI-ESM-LR_rcp45_r1i1p1;SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_SMHI-RCA4;2023;2045;n/a;n/a;2014-2033;2036-2055;n/a;n/a
CNRM-CM5_rcp85_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2031;2046;2068;2088;2022-2041;2037-2056;2059-2078;2079-2098
CNRM-CM5_rcp85_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN53;2031;2046;2068;2088;2022-2041;2037-2056;2059-2078;2079-2098
CNRM-CM5_rcp85_r1i1p1;SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_SMHI-RCA4;2031;2046;2068;2088;2022-2041;2037-2056;2059-2078;2079-2098
EC-EARTH_rcp85_r12i1p1;SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_CLMcom-CCLM4-8-17;2019;2035;2061;n/a;2010-2029;2026-2045;2052-2071;n/a
EC-EARTH_rcp85_r12i1p1;SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_SMHI-RCA4;2019;2035;2061;n/a;2010-2029;2026-2045;2052-2071;n/a
EC-EARTH_rcp85_r1i1p1;SDM_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E;2020;2036;2062;2083;2011-2030;2027-2046;2053-2072;2074-2093
HadGEM2-ES_rcp85_r1i1p1;SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2024;2036;2055;2072;2015-2034;2027-2046;2046-2065;2063-2082
HadGEM2-ES_rcp85_r1i1p1;SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_SMHI-RCA4;2024;2036;2055;2072;2015-2034;2027-2046;2046-2065;2063-2082
IPSL-CM5A-MR_rcp85_r1i1p1;SDM_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_IPSL-INERIS-WRF331F;2016;2031;2051;2067;2007-2026;2022-2041;2042-2061;2058-2077
IPSL-CM5A-MR_rcp85_r1i1p1;SDM_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_SMHI-RCA4;2016;2031;2051;2067;2007-2026;2022-2041;2042-2061;2058-2077
MPI-ESM-LR_rcp85_r1i1p1;SDM_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2018;2038;2062;2082;2009-2028;2029-2048;2053-2072;2073-2092
MPI-ESM-LR_rcp85_r1i1p1;SDM_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4;2018;2038;2062;2082;2009-2028;2029-2048;2053-2072;2073-2092
