SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_CLMcom-CCLM4-8-17_all;;;;
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_KNMI-RACMO22E_all;2040-2059;;;
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_SMHI-RCA4_all;2029-2048;;;
SDM_ICHEC-EC-EARTH_rcp26_r3i1p1_DMI-HIRHAM5_all;;;;
SDM_MOHC-HadGEM2-ES_rcp26_r1i1p1_SMHI-RCA4_all;2011-2030;2044-2063;;
SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_MPI-CSC-REMO2009_all;2029-2048;;;
SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_SMHI-RCA4_all;2016-2035;;;
SDM_MPI-M-MPI-ESM-LR_rcp26_r2i1p1_MPI-CSC-REMO2009_all;;;;
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2045-2064;2066-2085;;
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CNRM-ALADIN53;2039-2058;2048-2067;;
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_SMHI-RCA4;2036-2055;2047-2066;;
SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_CLMcom-CCLM4-8-17;2040-2059;2051-2070;;
SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_SMHI-RCA4;2022-2041;2042-2061;;
SDM_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E;2021-2040;2055-2074;;
SDM_ICHEC-EC-EARTH_rcp45_r3i1p1_DMI-HIRHAM5;2028-2047;2063-2082;;
SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-INERIS-WRF331F;2028-2047;2060-2079;;
SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_SMHI-RCA4;2028-2047;2046-2065;;
SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2015-2034;2031-2050;2059-2078;
SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_SMHI-RCA4;2017-2036;2033-2052;2060-2079;
SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2029-2048;2080-2099;;
SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_SMHI-RCA4;2024-2043;2060-2079;;
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2032-2051;2045-2064;2066-2085;
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN53;2028-2047;2039-2058;2056-2075;2073-2092
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_SMHI-RCA4;2022-2041;2036-2055;2052-2071;2070-2089
SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_CLMcom-CCLM4-8-17;2031-2050;2044-2063;2067-2086;2080-2099
SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_SMHI-RCA4;2018-2037;2030-2049;2049-2068;2067-2086
SDM_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E;2020-2039;2048-2067;2063-2082;2077-2096
SDM_ICHEC-EC-EARTH_rcp85_r3i1p1_DMI-HIRHAM5;2019-2038;2044-2063;2067-2086;
SDM_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_IPSL-INERIS-WRF331F;2041-2060;2048-2067;2066-2085;
SDM_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_SMHI-RCA4;2025-2044;2033-2052;2048-2067;2061-2080
SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2013-2032;2024-2043;2046-2065;2057-2076
SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_SMHI-RCA4;2012-2031;2024-2043;2046-2065;2060-2079
SDM_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2035-2054;2043-2062;2067-2086;
SDM_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4;2028-2047;2040-2059;2058-2077;2071-2090
