Linked models;Mean year per GWL;;;;Period per GWL
GCM (CMIP5);1.5°C;2.0°C;3.0°C;4.0°C;1.5°C;2.0°C;3.0°C;4.0°C
Amon_BNU-ESM_rcp26_r1i1p1_200601-210012;2008;2025;n/a;n/a;1999-2018;2016-2035;n/a;n/a
Amon_CNRM-CM5_rcp26_r1i1p1_200601-210012;2044;n/a;n/a;n/a;2035-2054;n/a;n/a;n/a
Amon_CanESM2_rcp26_r1i1p1_200601-210012;2014;2034;n/a;n/a;2005-2024;2025-2044;n/a;n/a
Amon_IPSL-CM5A-LR_rcp26_r1i1p1_200601-230012;2011;2032;n/a;n/a;2002-2021;2023-2042;n/a;n/a
Amon_IPSL-CM5A-MR_rcp26_r1i1p1_200601-210012;2016;2047;n/a;n/a;2007-2026;2038-2057;n/a;n/a
Amon_NorESM1-ME_rcp26_r1i1p1_200601-210112;2085;n/a;n/a;n/a;2076-2095;n/a;n/a;n/a
Amon_NorESM1-M_rcp26_r1i1p1_200601-210012;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
Amon_bcc-csm1-1-m_rcp26_r1i1p1_200601-210012;2012;2044;n/a;n/a;2003-2022;2035-2054;n/a;n/a
Amon_bcc-csm1-1_rcp26_r1i1p1_200601-209912;2023;n/a;n/a;n/a;2014-2033;n/a;n/a;n/a
Amon_BNU-ESM_rcp45_r1i1p1_200601-210012;2008;2024;2064;n/a;1999-2018;2015-2034;2055-2074;n/a
Amon_CNRM-CM5_rcp45_r1i1p1_200601-210012;2038;2059;n/a;n/a;2029-2048;2050-2069;n/a;n/a
Amon_CanESM2_rcp45_r1i1p1_200601-210012;2018;2032;2076;n/a;2009-2028;2023-2042;2067-2086;n/a
Amon_IPSL-CM5A-LR_rcp45_r1i1p1_200601-230012;2014;2031;2070;n/a;2005-2024;2022-2041;2061-2080;n/a
Amon_NorESM1-ME_rcp45_r1i1p1_200601-210212;2042;2068;n/a;n/a;2033-2052;2059-2078;n/a;n/a
Amon_NorESM1-M_rcp45_r1i1p1_200601-210012;2040;2074;n/a;n/a;2031-2050;2065-2084;n/a;n/a
Amon_bcc-csm1-1-m_rcp45_r1i1p1_200601-210012;2012;2035;n/a;n/a;2003-2022;2026-2045;n/a;n/a
Amon_bcc-csm1-1_rcp45_r1i1p1_200601-209912;2022;2044;n/a;n/a;2013-2032;2035-2054;n/a;n/a
Amon_BNU-ESM_rcp85_r1i1p1_200601-210012;2009;2023;2046;2065;2000-2019;2014-2033;2037-2056;2056-2075
Amon_CNRM-CM5_rcp85_r1i1p1_200601-210012;2031;2046;2068;2088;2022-2041;2037-2056;2059-2078;2079-2098
Amon_CanESM2_rcp85_r1i1p1_200601-210012;2014;2027;2050;2069;2005-2024;2018-2037;2041-2060;2060-2079
Amon_IPSL-CM5A-LR_rcp85_r1i1p1_200601-230012;2011;2027;2048;2066;2002-2021;2018-2037;2039-2058;2057-2076
Amon_NorESM1-ME_rcp85_r1i1p1_200601-210012;2034;2048;2070;n/a;2025-2044;2039-2058;2061-2080;n/a
Amon_NorESM1-M_rcp85_r1i1p1_200601-210012;2033;2050;2074;n/a;2024-2043;2041-2060;2065-2084;n/a
Amon_bcc-csm1-1-m_rcp85_r1i1p1_200601-210012;2011;2029;2060;2086;2002-2021;2020-2039;2051-2070;2077-2096
Amon_bcc-csm1-1_rcp85_r1i1p1_200601-209912;2020;2037;2060;2084;2011-2030;2028-2047;2051-2070;2075-2094
