Year;Precipitation sum
1971;819.09423828125
1972;1016.6427001953125
1973;979.0830078125
1974;1039.9276123046875
1975;1390.8326416015625
1976;1189.91015625
1977;1124.8729248046875
1978;916.1909790039062
1979;1002.0883178710938
1980;1309.21142578125
1981;1286.9937744140625
1982;1102.57861328125
1983;1062.1435546875
1984;929.9697875976562
1985;931.60888671875
1986;942.5995483398438
1987;863.49755859375
1988;1261.1968994140625
1989;1119.34716796875
1990;1082.392578125
1991;971.4579467773438
1992;1255.2664794921875
1993;1117.6171875
1994;1209.945068359375
1995;1233.6859130859375
1996;1353.211181640625
1997;1053.370361328125
1998;1160.614501953125
1999;996.6365966796875
2000;1532.7115478515625
2001;1118.376220703125
2002;939.2310791015625
2003;1238.6851806640625
2004;1140.3447265625
2005;866.0446166992188
2006;1273.2242431640625
2007;1190.5924072265625
2008;1241.14306640625
2009;1107.719482421875
2010;1069.6536865234375
2011;1062.632080078125
2012;1238.430908203125
2013;1320.773193359375
2014;1277.9908447265625
2015;1266.3568115234375
2016;1173.472412109375
2017;876.3895263671875
2018;1073.5289306640625
2019;1212.95849609375
2020;1213.17431640625
2021;1376.6591796875
2022;1131.6104736328125
2023;914.9673461914062
2024;929.400146484375
2025;1159.93603515625
2026;1165.3052978515625
2027;1237.2685546875
2028;1201.0999755859375
2029;1046.5093994140625
2030;1070.4326171875
2031;1090.9638671875
2032;1030.6285400390625
2033;930.8756103515625
2034;1419.4638671875
2035;1035.3865966796875
2036;1245.767822265625
2037;1052.768798828125
2038;1062.91552734375
2039;1142.730712890625
2040;1138.131103515625
2041;952.9025268554688
2042;1367.8271484375
2043;1289.716796875
2044;1110.0213623046875
2045;1043.0537109375
2046;1361.798095703125
2047;1138.943603515625
2048;1037.2193603515625
2049;1095.939208984375
2050;1293.49169921875
2051;1239.8970947265625
2052;1294.513427734375
2053;1122.9013671875
2054;1236.7694091796875
2055;1097.04296875
2056;1207.5401611328125
2057;1070.093017578125
2058;1262.658203125
2059;1275.292724609375
2060;1373.778564453125
2061;1129.71630859375
2062;1016.9273071289062
2063;1112.411865234375
2064;1252.05859375
2065;1146.400634765625
2066;1239.6265869140625
2067;1060.1197509765625
2068;951.2842407226562
2069;1319.555908203125
2070;1061.2623291015625
2071;995.8344116210938
2072;1196.718994140625
2073;1235.857421875
2074;1240.056884765625
2075;1540.1181640625
2076;989.9251098632812
2077;1196.2548828125
2078;1090.40576171875
2079;1303.5814208984375
2080;1277.2784423828125
2081;1166.047119140625
2082;1188.045654296875
2083;1221.3587646484375
2084;1309.409423828125
2085;992.905029296875
2086;1363.9766845703125
2087;1010.6723022460938
2088;1191.145263671875
2089;1344.572021484375
2090;1178.714111328125
2091;1435.62890625
2092;1338.1236572265625
2093;1267.59619140625
2094;1321.525146484375
2095;960.9107666015625
2096;1322.1422119140625
2097;1112.8585205078125
2098;1163.532470703125
2099;1121.0810546875
2100;971.5698852539062
