Year;Anomaly 1991-2020
1951;-0.966977596282959
1952;-1.1915950775146484
1953;-1.6078734397888184
1954;-0.47733211517333984
1955;-0.5474662780761719
1956;-1.2760672569274902
1957;-1.57838773727417
1958;-0.4351468086242676
1959;-1.756309986114502
1960;-0.46359920501708984
1961;-0.37782812118530273
1962;-0.7144932746887207
1963;0.33150148391723633
1964;-0.5205059051513672
1965;0.028544902801513672
1966;-1.4793367385864258
1967;0.29599905014038086
1968;-0.25690412521362305
1969;-1.0072479248046875
1970;-0.968437671661377
1971;-0.02155303955078125
1972;-0.28115177154541016
1973;-0.37479639053344727
1974;-0.09843158721923828
1975;-0.6569113731384277
1976;-0.28817176818847656
1977;-0.7781615257263184
1978;0.0899815559387207
1979;-1.0570406913757324
1980;-0.08174848556518555
1981;-0.11357688903808594
1982;-0.4215211868286133
1983;-1.2423529624938965
1984;-0.7949094772338867
1985;0.4757556915283203
1986;-0.44167232513427734
1987;-1.5673346519470215
1988;-0.7912826538085938
1989;-0.0931096076965332
1990;-0.6057324409484863
1991;-0.8160338401794434
1992;0.017592430114746094
1993;-0.037471771240234375
1994;-0.713874340057373
1995;-0.45088768005371094
1996;-0.3673439025878906
1997;-0.2002124786376953
1998;0.19021987915039062
1999;0.256223201751709
2000;-0.8126363754272461
2001;0.3695077896118164
2002;0.7417635917663574
2003;-0.46357154846191406
2004;0.7119646072387695
2005;1.1317477226257324
2006;0.6228542327880859
2007;0.007249355316162109
2008;0.9130921363830566
2009;-0.02386951446533203
2010;0.5539255142211914
2011;-0.0962972640991211
2012;-1.2733097076416016
2013;-0.11558341979980469
2014;0.2031402587890625
2015;-1.2606086730957031
2016;-0.19264936447143555
2017;-0.24152040481567383
2018;0.9812355041503906
2019;0.20783042907714844
2020;0.1575298309326172
2021;0.02930450439453125
2022;-1.3872594833374023
2023;-0.040236473083496094
2024;0.04703998565673828
2025;0.029046058654785156
2026;0.5880861282348633
2027;-0.6829032897949219
2028;0.4402732849121094
2029;0.5093240737915039
2030;0.19849300384521484
2031;0.9007806777954102
2032;-0.17037057876586914
2033;1.4959383010864258
2034;0.18384265899658203
2035;0.7428250312805176
2036;-0.35980224609375
2037;0.4188718795776367
2038;0.8717713356018066
2039;-0.31036949157714844
2040;1.0654616355895996
2041;0.9763259887695312
2042;1.4835901260375977
2043;-0.14388656616210938
2044;1.1781611442565918
2045;0.7229366302490234
2046;1.3579683303833008
2047;0.5534334182739258
2048;0.7568964958190918
2049;-0.3591022491455078
2050;0.005286693572998047
2051;0.8647513389587402
2052;1.5592241287231445
2053;-0.5947146415710449
2054;-0.8245997428894043
2055;1.6487798690795898
2056;1.334177017211914
2057;-0.21422624588012695
2058;1.3347902297973633
2059;0.38056421279907227
2060;0.23920679092407227
2061;1.0796351432800293
2062;1.625687599182129
2063;0.8817248344421387
2064;0.4501457214355469
2065;0.026694774627685547
2066;0.10117864608764648
2067;1.3224105834960938
2068;0.8453912734985352
2069;1.01301908493042
2070;0.41801977157592773
2071;1.757765769958496
2072;-0.04690742492675781
2073;-0.6349515914916992
2074;-0.4733142852783203
2075;0.38289546966552734
2076;0.8910284042358398
2077;0.43419837951660156
2078;1.1462221145629883
2079;1.0175461769104004
2080;0.8633008003234863
2081;-0.8590312004089355
2082;1.0680036544799805
2083;0.3196382522583008
2084;0.49100255966186523
2085;-0.7869887351989746
2086;0.14121055603027344
2087;0.5716314315795898
2088;0.7906384468078613
2089;0.6309804916381836
2090;-0.1692066192626953
2091;1.228163242340088
2092;0.90570068359375
2093;1.1256370544433594
2094;0.9038553237915039
2095;0.8681650161743164
2096;-0.10884809494018555
2097;0.08173561096191406
2098;1.2079033851623535
2099;0.5362610816955566
2100;0.9880342483520508
